id,name,email,telephone,address,last_check_in,department,salary,age,managers_id,position,relatives_id,start_date,end_date
0,Mike Oconnell,zpeck@example.com,9881741110,"75894 Sean Harbors Suite 902
South Paigemouth, IN 39862",2025-03-13 19:57:36.646686,HR,140000,47,8232,Specialist,9626.0,2015-05-29,
1,Samuel Mccann,mcclainashley@example.net,9723406184,"790 Mary Summit Apt. 959
Smithhaven, WV 70940",2025-03-13 19:57:36.646686,Sales,55000,31,1223,Specialist,,2015-07-14,
2,Sabrina Cross,johnsondarlene@example.net,9518286622,"98582 Stuart Greens
New Whitney, NY 03261",2025-03-13 19:57:36.646686,HR,115000,30,8235,Specialist,,2022-10-19,
3,Richard Butler,lisamurphy@example.com,9978962738,"830 Molly Route
Port Billy, CA 70103",2025-03-13 19:57:36.646686,Sales,125000,20,1226,Specialist,,2025-01-04,
4,Joseph Carlson,clintonfuentes@example.net,9642338790,"89933 Aaron Roads Apt. 157
Brockburgh, MS 37511",2025-03-13 19:57:36.646686,Marketing,115000,46,2203,Specialist,,2016-07-21,
5,Nicole Johnston,phudson@example.net,9695040488,"12398 Richardson Cliffs Apt. 620
East Jesse, ME 35791",2025-03-13 19:57:36.646686,HR,105000,61,8232,Specialist,6636.0,2016-04-03,
6,Ronald Andrews,andrewfischer@example.org,9275887335,"Unit 4243 Box 9944
DPO AA 34399",2025-03-13 19:57:36.646686,Marketing,55000,68,2224,Specialist,,2015-09-06,
7,James Black,contrerastimothy@example.org,9709415025,"5320 Gomez Lakes
West Joshua, IA 72127",2025-03-13 19:57:36.646686,Marketing,70000,41,2212,Specialist,,2021-05-31,
8,Jacqueline Bowen,davidandersen@example.org,9649542456,"98727 Robles Streets
New Daniel, MO 94618",2025-03-13 19:57:36.646686,Sales,30000,64,1209,Specialist,,2015-03-30,
9,Nicolas Esparza,eramirez@example.net,9739177397,"USS Whitaker
FPO AP 85589",2025-03-13 19:57:36.646686,IT,125000,46,3228,Specialist,,2018-07-26,
10,Dana Thompson,william57@example.com,9159244441,"044 Clark Manor Apt. 381
North Sharonstad, VI 26931",2025-03-13 19:57:36.646686,HR,145000,37,8232,Specialist,,2023-09-14,
11,Justin Robles,robertskatrina@example.com,9003433713,"00502 Amy Courts
New Seth, ID 71284",2025-03-13 19:57:36.646686,Sales,95000,47,998,Head of department,,2024-12-31,
12,Adam Smith,april42@example.org,9541673638,"USNV Boyd
FPO AA 41047",2025-03-13 19:57:36.646686,Marketing,20000,69,2210,Specialist,,2018-07-09,
13,Mackenzie Solomon,darius65@example.com,9431860572,"433 Stein Bypass
East Kathy, DC 23227",2025-03-13 19:57:36.646686,HR,135000,48,8234,Specialist,,2016-10-31,2022-07-19
14,Mark Lewis,nealedward@example.com,9214774804,"024 Salazar Avenue
New Barryville, MS 67353",2025-03-13 19:57:36.646686,Sales,140000,57,1233,Specialist,,2016-11-12,
15,Edward Taylor,burnsjohn@example.net,9791641768,"4816 Jessica Causeway Apt. 609
East Douglasfurt, CO 49284",2025-03-13 19:57:36.646686,Marketing,110000,58,2202,Specialist,,2023-11-03,
16,Pamela Adams,ijones@example.net,9754072192,"6477 Miller Corner
Collierburgh, UT 39145",2025-03-13 19:57:36.646686,HR,20000,40,8235,Specialist,,2021-02-17,
